"ID","Target","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
122,1,8,0,30,6,7,5,5,14,6,5,5,5,35.41917808,5,0,0,0,0,0,0,5,5,5
123,1,8,3.26086955,6.52173915,5,5,5,5,15,41,5,5,5,35.41917808,9.387371229,0,0,0,0,0,0,5,5,5
124,0,9,12.5,9.375,6,8,6,5,9,17,5,5,5,31.2109589,9.210086495,0,0,0,0,0,0,5,5,5
125,0,8,21.3592233,27.184466,8,5,5,5,13,100,5,5,5,35.41917808,8.594397593,0,0,0,0,0,0,5,6,5
126,0,6,0,50,6,5,6,5,14,5,5,5,5,35.41917808,7.889304469,0,0,0,0,0,0,5,5,5
127,0,8,0,16.66666665,6,7,6,5,5,8,5,5,5,26.09589041,5,0,0,0,0,0,0,5,5,5
128,0,8,2.7777778,44.44444445,8,5,5,5,21,7,5,5,5,31.30684932,8.083308237,0,0,0,0,0,0,5,5,5
129,1,10,0,17.91044775,8,6,8,5,135,9,5,5,93,35.41917808,7.490725028,0,0,0,0,0,0,6,17,683
130,0,8,24.07407405,24.07407405,7,5,5,5,30,7,5,5,17,35.41917808,7.152590342,0,0,0,0,0,0,5,5,5
131,0,9,0,37.85714285,7,7,5,5,39,37,5,5,5,35.41917808,10.188825185,0,0,0,0,0,0,5,5,5
132,0,8,0,44.04761905,6,7,5,5,6,46,5,6,5,29.30136986,12.678011212,0,0,0,0,0,0,5,5,123
133,0,7,0,25,6,7,6,5,9,5,5,5,5,35.41917808,5,0,0,0,0,0,0,5,5,5
134,0,6,0,0,7,5,5,5,8,6,5,5,5,35.41917808,9.069863014,0,0,0,0,0,0,5,5,5
135,0,6,0,50,5,7,5,5,6,8,5,5,5,31.7739726,9.314740801,0,0,0,0,1,0,5,5,5
136,0,6,0,50,6,5,7,5,6,7,5,5,5,29.30136986,8.928630517,0,0,0,1,0,0,5,5,5
137,0,6,0,50,5,5,5,5,5,29,5,5,5,35.41917808,7.298087639,0,0,0,0,0,0,5,5,5
138,0,7,0,40.9090909,6,6,5,5,9,12,5,5,5,35.41917808,6.625101214,0,0,0,0,0,0,5,5,5
139,0,6,0,50,5,5,5,5,6,7,5,5,5,29.30136986,8.928630517,0,0,0,0,0,0,5,5,5
140,0,8,0,31.8181818,7,6,5,5,11,10,5,5,5,35.41917808,9.176574817,0,0,0,0,0,0,5,5,11
141,0,6,0,50,5,5,5,5,5,13,5,5,5,27.27945205,5.714855897,0,0,0,0,0,0,5,5,5
142,0,7,0,33.33333335,6,5,5,5,14,5,5,5,5,35.41917808,11.00939341,0,0,0,0,0,0,5,5,5
143,0,8,12.5,25,7,5,5,5,6,8,5,5,5,35.41917808,5,0,0,0,0,0,0,5,5,5
144,0,8,0,31.25,7,6,8,14,5,20,14,5,14,28.03013699,11.278237066,0,0,0,0,0,0,5,5,2431
145,0,6,0,50,5,9,5,5,5,11,5,5,5,27.35342466,11.285382558,0,0,0,0,0,0,5,5,5
146,0,7,0,25,6,5,5,5,17,9,5,17,5,33.52876712,7.388103765,0,0,0,0,0,0,5,5,5
147,0,8,16.66666665,16.66666665,7,5,5,5,77,35,5,5,5,35.41917808,7.863095363,0,0,0,0,0,0,5,5,5
148,0,6,0,50,7,6,5,5,12,5,5,5,5,26.95068493,5,0,0,0,0,0,0,5,5,5
149,0,6,0,50,6,5,5,5,6,5,5,5,5,35.41917808,5,0,0,0,0,0,0,5,5,5
150,0,6,0,50,6,6,5,5,12,7,5,5,5,35.41917808,5,0,0,0,0,0,0,5,5,5
151,0,7,0,23.0769231,7,7,5,5,11,12,5,5,5,29.30136986,12.693871964,0,0,0,0,0,0,5,7,14
152,0,8,0,30,5,7,5,5,5,10,5,5,5,28.09041096,5.997607195,0,0,0,0,0,0,5,5,5
153,0,9,0.74626865,41.0447761,6,6,5,5,67,10,5,46,7,33.52876712,9.406806719,0,0,0,0,0,0,5,7,4371
154,0,9,0,24.4897959,8,6,5,5,30,29,5,5,5,35.41917808,11.502979182,0,0,0,0,0,0,5,5,5
155,0,8,0,30.4347826,13,10,6,54,46,7,47,35,44,33.52876712,12.403907594,0,0,0,0,1,0,5,47,21769
156,0,7,0,0.4424779,7,7,5,5,225,10,5,7,6,35.41917808,9.663284621,0,0,0,0,0,0,5,9,8
157,0,10,0,30.76923075,6,8,5,8,31,15,26,5,11,26.28767123,14.28130817,0,0,0,0,0,0,5,5,492
158,1,8,0,39.0909091,9,6,6,5,154,21,5,5,8,35.41917808,9.575800452,1,0,0,0,0,0,8,117,23
159,0,8,5.55555555,38.8888889,6,5,5,5,8,11,5,5,5,28.49041096,11.712656688,0,0,0,0,0,0,5,5,5
160,0,8,0,47.2972973,8,8,7,15,25,9,30,5,13,25.97534247,11.050456043,0,0,0,0,0,0,6,12,11
161,1,10,0,14.84848485,14,8,6,87,79,14,89,75,81,31.0630137,11.890770313,0,0,0,0,0,1,13,42,3142
162,0,6,0,50,6,5,5,5,8,5,5,5,5,37.11506849,5,0,0,0,0,0,0,5,5,5
163,0,8,1.66666665,33.33333335,7,5,5,5,6,34,5,5,5,29.30136986,8.286624891,0,0,0,0,0,0,5,5,5
164,0,6,50,0,7,5,5,5,6,5,5,5,5,35.41917808,5,0,0,0,0,0,0,5,5,5
165,0,6,0,50,8,5,5,5,6,5,5,5,5,17.82739726,5,0,0,0,0,0,0,5,5,5
166,0,7,0,46.15384615,7,5,5,5,14,9,5,5,5,35.41917808,12.535237755,0,0,0,0,0,0,5,5,5
167,0,8,0.69444445,45.1388889,5,5,5,5,75,7,5,5,25,35.41917808,10.039411256,0,0,0,0,0,0,5,5,5
168,0,7,0,24,6,6,5,5,17,18,5,5,5,35.41917808,10.526084609,0,0,0,0,0,0,5,5,5
169,0,7,25,25,8,5,5,5,7,13,5,5,5,29.30136986,7.891693051,0,0,0,0,0,0,5,5,5
170,0,6,50,0,7,6,5,5,19,6,5,5,8,33.97808219,11.758860518,0,0,0,0,0,0,5,5,589
171,0,7,0,41.66666665,7,6,5,5,7,9,5,6,5,32.36027397,8.81872815,0,0,0,0,0,0,5,5,5
172,0,7,0,22.72727275,6,5,6,5,14,7,5,5,5,35.41917808,6.844588582,0,0,0,0,0,0,5,5,5
173,0,8,0.45045045,0,10,6,5,47,550,83,142,37,82,35.41917808,11.170850593,0,0,0,0,0,0,5,5,5
174,0,10,12.5,18.75,10,5,5,11,30,6,14,7,10,35.41917808,9.181354665,0,0,0,0,0,0,5,9,156
175,0,6,0,50,8,5,5,5,5,8,6,5,5,27.35342466,5.653275784,0,0,0,0,0,0,5,5,5
176,0,8,0,16.66666665,5,7,5,8,11,11,5,11,14,33.52876712,7.562021593,0,0,0,0,0,0,5,5,5
177,0,7,4.16666665,45.83333335,6,7,5,5,14,8,5,5,5,35.41917808,9.429902624,0,0,0,0,0,0,5,6,6
178,0,6,0,50,5,5,5,5,6,7,5,5,5,35.41917808,16.95826859,0,0,0,0,0,0,5,5,5
179,0,7,22.7106227,0,5,10,6,5,268,15,5,13,5,35.41917808,9.532339741,0,0,0,1,0,0,5,12,5
180,0,8,9.0909091,31.8181818,7,6,5,5,20,12,10,8,5,34.4739726,8.348091631,0,0,0,0,0,0,5,6,10
181,0,7,0,45.83333335,6,5,5,5,8,14,5,5,5,35.41917808,14.063318576,0,0,0,0,0,0,5,5,5
182,0,7,1.02040815,48.97959185,7,7,5,5,75,33,5,5,5,35.41917808,9.121717977,0,0,0,0,0,0,5,5,5
183,0,6,0,50,7,6,5,5,5,6,5,5,5,27.35342466,5,0,0,0,0,0,0,5,5,5
184,0,9,4.16666665,20.83333335,5,7,5,5,9,13,5,5,5,35.41917808,8.766837613,0,0,0,0,0,0,5,5,5
185,0,6,0,50,6,7,5,5,6,5,5,5,5,35.41917808,5,0,0,0,0,0,0,5,5,5
186,0,6,0,50,5,6,6,5,6,5,5,5,5,35.41917808,5,0,0,0,0,0,0,5,5,5
187,0,7,0,30,6,7,5,5,6,9,6,5,5,35.41917808,9.744566536,0,0,0,0,0,0,5,5,5
188,1,8,3.33333335,23.33333335,6,5,5,7,14,9,5,5,8,35.41917808,8.181083923,0,0,0,0,0,0,5,5,5
189,0,7,0,0,7,6,5,9,356,60,138,20,39,33.82465753,11.636413904,0,0,0,0,0,0,5,5,5
190,0,6,0,50,5,7,6,5,6,5,5,5,5,26.09589041,5,0,0,0,0,0,0,5,5,5
191,0,10,7.8125,12.5,7,6,5,5,16,26,5,5,5,29.30136986,8.721755774,0,0,0,0,0,0,5,5,5
192,0,6,0,50,6,8,5,5,16,7,5,5,5,25.97534247,8.489690001,0,0,0,0,0,0,5,5,5
193,0,7,0,25,5,8,5,5,9,5,5,5,5,35.41917808,5,0,0,0,0,0,0,5,5,5
194,0,8,0,25,9,5,5,5,5,27,5,5,5,29.30136986,7.788755805,0,0,0,0,0,0,5,5,5
195,0,6,0,50,5,6,5,5,10,7,5,5,5,35.41917808,8.076527258,0,0,0,0,1,0,5,5,5
196,0,7,0,48.38709675,6,8,5,5,15,26,5,5,5,29.30136986,8.583985524,0,0,0,0,0,0,5,5,5
197,0,6,0,50,5,6,5,5,6,5,5,5,5,35.41917808,5,0,0,0,0,0,0,5,5,5
198,0,8,0,15.3846154,9,6,6,5,16,7,15,5,7,35.41917808,10.867679889,0,0,0,0,0,0,5,5,5
199,0,7,0,19.23076925,8,6,5,9,10,6,5,5,5,25.82465753,13.216541522,0,0,0,0,0,0,5,5,5
200,0,6,0,50,6,8,5,5,7,5,5,5,5,32.33561644,9.360814697,0,0,0,0,0,0,5,5,5
201,0,9,0.6756757,24.66216215,7,8,5,5,77,81,5,5,8,31.25479452,11.567247559,0,0,0,0,0,0,5,12,5
202,0,7,0,34.375,8,5,5,5,21,21,5,5,5,35.41917808,7.942295852,0,0,0,0,0,0,5,5,5
